Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLK04,"Soybean Oil",30.68,0,0.00%,Sell,Sell,Sell,Buy,Buy,Sell,Sell
ZLH04,"Soybean Oil",33.05,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLF04,"Soybean Oil",30.3,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ03,"Soybean Oil",28.87,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV03,"Soybean Oil",27.16,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU03,"Soybean Oil",22.23,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ03,"Soybean Oil",19.5,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN03,"Soybean Oil",21.5,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLK03,"Soybean Oil",22.88,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH03,"Soybean Oil",20.85,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLF03,"Soybean Oil",20.23,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLZ02,"Soybean Oil",21.91,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLV02,"Soybean Oil",19.56,0,0.00%,Buy,Hold,Sell,Sell,Sell,Sell,Hold
ZLU02,"Soybean Oil",20.09,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Sell
ZLQ02,"Soybean Oil",20.89,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN02,"Soybean Oil",19.11,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK02,"Soybean Oil",16.59,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLH02,"Soybean Oil",16.41,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF02,"Soybean Oil",15.77,0,0.00%,Sell,Hold,Sell,Sell,Hold,Sell,Sell
ZLZ01,"Soybean Oil",15.71,0,0.00%,Sell,Sell,Sell,Buy,Buy,Sell,Sell
ZLV01,"Soybean Oil",14.89,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU01,"Soybean Oil",16.13,0,0.00%,Hold,Sell,Sell,Buy,Sell,Sell,Sell
ZLQ01,"Soybean Oil",18.87,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN01,"Soybean Oil",18.12,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK01,"Soybean Oil",14.48,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH01,"Soybean Oil",15.93,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF01,"Soybean Oil",14.48,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ00,"Soybean Oil",14.74,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV00,"Soybean Oil",14.98,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU00,"Soybean Oil",15.39,0,0.00%,Sell,Sell,Sell,Sell,Sell,Hold,Sell
ZLQ00,"Soybean Oil",15.13,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN00,"Soybean Oil",15.42,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK00,"Soybean Oil",17.19,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLH00,"Soybean Oil",16.57,0,0.00%,Buy,Buy,Buy,Sell,Hold,Buy,Buy
ZLF00,"Soybean Oil",16.03,0,0.00%,Sell,Buy,Sell,Sell,Sell,Hold,Sell
ZLZ99,"Soybean Oil",15.4,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV99,"Soybean Oil",16.49,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLU99,"Soybean Oil",16.78,0,0.00%,Sell,Sell,Buy,Buy,Buy,Sell,Sell
ZLQ99,"Soybean Oil",17.28,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLN99,"Soybean Oil",16.12,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLK99,"Soybean Oil",17.72,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLH99,"Soybean Oil",19.15,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLF99,"Soybean Oil",23.22,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ98,"Soybean Oil",22.89,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLV98,"Soybean Oil",25.3,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLU98,"Soybean Oil",25.55,0,0.00%,Sell,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ98,"Soybean Oil",24.21,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN98,"Soybean Oil",23.82,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK98,"Soybean Oil",27.63,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Sell
ZLH98,"Soybean Oil",27.33,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF98,"Soybean Oil",25.18,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLZ97,"Soybean Oil",24.8,0,0.00%,Buy,Sell,Buy,Buy,Sell,Buy,Buy
ZLV97,"Soybean Oil",24.95,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU97,"Soybean Oil",23.78,0,0.00%,Buy,Buy,Buy,Sell,Sell,Buy,Buy
ZLQ97,"Soybean Oil",22.1,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN97,"Soybean Oil",21.68,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK97,"Soybean Oil",23.51,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLH97,"Soybean Oil",24.26,0,0.00%,Buy,Sell,Sell,Buy,Buy,Buy,Hold
ZLF97,"Soybean Oil",23.71,0,0.00%,Sell,Buy,Buy,Sell,Buy,Buy,Buy
ZLZ96,"Soybean Oil",23.08,0,0.00%,Sell,Hold,Sell,Sell,Sell,Hold,Sell
ZLV96,"Soybean Oil",22.75,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU96,"Soybean Oil",25.2,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLQ96,"Soybean Oil",25.1,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLN96,"Soybean Oil",24.2,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLK96,"Soybean Oil",26.4,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLH96,"Soybean Oil",24.08,0,0.00%,Sell,Buy,Sell,Sell,Sell,Buy,Sell
ZLF96,"Soybean Oil",23.55,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ95,"Soybean Oil",25.45,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLV95,"Soybean Oil",26.47,0,0.00%,Sell,Sell,Buy,Buy,Buy,Buy,Sell
ZLU95,"Soybean Oil",26.5,0,0.00%,Buy,Buy,Sell,Sell,Sell,Buy,Buy
ZLQ95,"Soybean Oil",26.55,0,0.00%,Buy,Hold,Buy,Buy,Sell,Sell,Buy
ZLN95,"Soybean Oil",27.45,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK95,"Soybean Oil",25.37,0,0.00%,Sell,Hold,Sell,Sell,Sell,Sell,Sell
ZLH95,"Soybean Oil",28.07,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLF95,"Soybean Oil",28.37,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLZ94,"Soybean Oil",29.27,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV94,"Soybean Oil",27.41,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLU94,"Soybean Oil",25.25,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLQ94,"Soybean Oil",24.47,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN94,"Soybean Oil",24.15,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK94,"Soybean Oil",29.98,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLH94,"Soybean Oil",29.19,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF94,"Soybean Oil",29.5,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ93,"Soybean Oil",28.45,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV93,"Soybean Oil",22.76,0,0.00%,Sell,Hold,Sell,Sell,Sell,Sell,Sell
ZLU93,"Soybean Oil",23.36,0,0.00%,Buy,Buy,Buy,Hold,Sell,Hold,Buy
ZLQ93,"Soybean Oil",23.46,0,0.00%,Buy,Sell,Buy,Buy,Buy,Hold,Buy
ZLN93,"Soybean Oil",24.59,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK93,"Soybean Oil",21.16,0,0.00%,Sell,Buy,Buy,Sell,Hold,Buy,Sell
ZLH93,"Soybean Oil",20.9,0,0.00%,Buy,Sell,Sell,Sell,Sell,Buy,Sell
ZLF93,"Soybean Oil",21.45,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ92,"Soybean Oil",20.66,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV92,"Soybean Oil",19.11,0,0.00%,Sell,Buy,Buy,Sell,Hold,Buy,Buy
ZLU92,"Soybean Oil",18.58,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ92,"Soybean Oil",18.44,0,0.00%,Sell,Hold,Sell,Sell,Sell,Sell,Sell
ZLN92,"Soybean Oil",19.02,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK92,"Soybean Oil",20.7,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLH92,"Soybean Oil",20.25,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLF92,"Soybean Oil",19.42,0,0.00%,Sell,Buy,Buy,Sell,Buy,Buy,Buy
ZLZ91,"Soybean Oil",19.15,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV91,"Soybean Oil",19.51,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLU91,"Soybean Oil",20.88,0,0.00%,Hold,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ91,"Soybean Oil",20.08,0,0.00%,Sell,Hold,Buy,Sell,Sell,Sell,Sell
ZLN91,"Soybean Oil",18.68,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLK91,"Soybean Oil",19.71,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH91,"Soybean Oil",21.76,0,0.00%,Buy,Sell,Buy,Sell,Buy,Buy,Buy
ZLF91,"Soybean Oil",21.85,0,0.00%,Sell,Buy,Buy,Sell,Buy,Buy,Buy
ZLZ90,"Soybean Oil",20.65,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV90,"Soybean Oil",21.97,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU90,"Soybean Oil",23.62,0,0.00%,Hold,Sell,Sell,Buy,Buy,Sell,Sell
ZLQ90,"Soybean Oil",24.7,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLN90,"Soybean Oil",23.8,0,0.00%,Buy,Sell,Sell,Buy,Sell,Sell,Hold
ZLK90,"Soybean Oil",23.72,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLH90,"Soybean Oil",22.15,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF90,"Soybean Oil",18.84,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ89,"Soybean Oil",19.12,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLV89,"Soybean Oil",18.56,0,0.00%,Sell,Hold,Sell,Buy,Sell,Hold,Sell
ZLU89,"Soybean Oil",19.05,0,0.00%,Sell,Buy,Buy,Sell,Sell,Sell,Buy
ZLQ89,"Soybean Oil",18.23,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN89,"Soybean Oil",19.45,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK89,"Soybean Oil",22.52,0,0.00%,Hold,Sell,Sell,Buy,Buy,Sell,Sell
ZLH89,"Soybean Oil",23.25,0,0.00%,Hold,Buy,Buy,Sell,Buy,Buy,Buy
ZLF89,"Soybean Oil",21.28,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLZ88,"Soybean Oil",23.2,0,0.00%,Sell,Buy,Buy,Sell,Hold,Buy,Buy
ZLV88,"Soybean Oil",24.05,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLU88,"Soybean Oil",25.02,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ88,"Soybean Oil",25.5,0,0.00%,Hold,Sell,Sell,Sell,Buy,Sell,Sell
ZLN88,"Soybean Oil",28.62,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Hold
ZLK88,"Soybean Oil",24.64,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH88,"Soybean Oil",20.46,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLF88,"Soybean Oil",22.54,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ87,"Soybean Oil",20.27,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV87,"Soybean Oil",17.43,0,0.00%,Buy,Buy,Buy,Hold,Buy,Buy,Buy
ZLU87,"Soybean Oil",16.22,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLQ87,"Soybean Oil",15.96,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN87,"Soybean Oil",15.47,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK87,"Soybean Oil",16.56,0,0.00%,Hold,Hold,Buy,Buy,Buy,Hold,Buy
ZLH87,"Soybean Oil",15.38,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLF87,"Soybean Oil",15.95,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLZ86,"Soybean Oil",15.13,0,0.00%,Buy,Sell,Sell,Sell,Hold,Buy,Hold
ZLV86,"Soybean Oil",14.72,0,0.00%,Sell,Buy,Buy,Hold,Sell,Buy,Buy
ZLU86,"Soybean Oil",13.71,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLQ86,"Soybean Oil",13.8,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN86,"Soybean Oil",16.35,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK86,"Soybean Oil",17.5,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH86,"Soybean Oil",17.32,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF86,"Soybean Oil",19.64,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLZ85,"Soybean Oil",21.72,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLV85,"Soybean Oil",19.35,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU85,"Soybean Oil",21.78,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ85,"Soybean Oil",22.55,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN85,"Soybean Oil",27,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK85,"Soybean Oil",32.93,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH85,"Soybean Oil",30.95,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF85,"Soybean Oil",27.35,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ84,"Soybean Oil",27.3,0,0.00%,Buy,Buy,Sell,Buy,Buy,Buy,Buy
ZLV84,"Soybean Oil",30,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLU84,"Soybean Oil",26.7,0,0.00%,Sell,Hold,Sell,Sell,Buy,Sell,Sell
ZLQ84,"Soybean Oil",26.88,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN84,"Soybean Oil",31,0,0.00%,Hold,Hold,Sell,Buy,Sell,Hold,Sell
ZLK84,"Soybean Oil",39.87,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH84,"Soybean Oil",30.98,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF84,"Soybean Oil",27.35,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLZ83,"Soybean Oil",27.71,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLV83,"Soybean Oil",29.05,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLU83,"Soybean Oil",36.8,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLQ83,"Soybean Oil",32.4,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN83,"Soybean Oil",21.92,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK83,"Soybean Oil",19.29,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH83,"Soybean Oil",17.48,0,0.00%,Buy,Buy,Buy,Buy,Sell,Buy,Buy
ZLF83,"Soybean Oil",16.76,0,0.00%,Sell,Buy,Buy,Sell,Sell,Hold,Buy
ZLZ82,"Soybean Oil",16.35,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV82,"Soybean Oil",17.18,0,0.00%,Sell,Buy,Sell,Sell,Buy,Sell,Sell
ZLU82,"Soybean Oil",17.13,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ82,"Soybean Oil",17.27,0,0.00%,Sell,Hold,Sell,Sell,Sell,Sell,Sell
ZLN82,"Soybean Oil",18.77,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLK82,"Soybean Oil",20.72,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH82,"Soybean Oil",18.77,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLF82,"Soybean Oil",19.01,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ81,"Soybean Oil",18.73,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV81,"Soybean Oil",20.55,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLU81,"Soybean Oil",20.47,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ81,"Soybean Oil",21.61,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN81,"Soybean Oil",23.37,0,0.00%,Sell,Hold,Buy,Sell,Buy,Buy,Hold
ZLK81,"Soybean Oil",22.85,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH81,"Soybean Oil",24.17,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLF81,"Soybean Oil",23.72,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ80,"Soybean Oil",24.1,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLV80,"Soybean Oil",26.6,0,0.00%,Buy,Buy,Sell,Buy,Buy,Sell,Buy
ZLU80,"Soybean Oil",27.75,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ80,"Soybean Oil",25.35,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLN80,"Soybean Oil",27.16,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK80,"Soybean Oil",20.9,0,0.00%,Sell,Buy,Sell,Sell,Sell,Hold,Sell
ZLH80,"Soybean Oil",22.15,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF80,"Soybean Oil",23.36,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
"Downloaded from Barchart.com as of 10-03-2025 04:20pm CDT"
